url1,url,name,adresse,rating,rater,latlong,description,city
https://www.booking.com/searchresults.fr.html?ss=bayeux&rows=25&offset=0&order=popularity,https://www.booking.com/hotel/fr/le-chateau-de-monceau.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=e6ae703a54fc03e0&srepoch=1649692662&from=searchresults,Château de Monceaux 5mn de Bayeux proche Mer,"1330 RUE DES PLATANE MONCEAUX EN BESSIN, 14400 Bayeux, France",9.0,34,"['49.25214479,-0.69390664']","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Château de Monceaux 5mn de Bayeux proche Mer !  Connectez-vous  pour économiser. Situé à Bayeux, en Basse-Normandie, à moins de 2,5 km du musée de la Tapisserie de Bayeux, le Château de Monceaux 5mn de Bayeux proche Mer propose des hébergements avec une connexion Wi-Fi gratuite, une aire de jeux pour enfants, un jardin et un parking privé gratuit. Tous les logements disposent d'une terrasse, d'une cheminée, d'un coin salon, d'une télévision à écran plat, d'un lave-linge ainsi que d'une salle de bains privative avec baignoire et chaussons. Leur cuisine entièrement équipée comporte un micro-ondes, un réfrigérateur, un four, une bouilloire et une machine à café. Un barbecue est à votre disposition sur place. Vous séjournerez à 2,8 km du musée Baron Gérard et à 3 km de la cathédrale Notre-Dame de Bayeux. L'aéroport le plus proche, celui de Caen-Carpiquet, est situé à 32 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires. ",bayeux
https://www.booking.com/searchresults.fr.html?ss=le-havre&rows=25&offset=0&order=popularity,https://www.booking.com/hotel/fr/sejour-chez-le-marin.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=7853703a959e001b&srepoch=1649692662&from_beach_sr=1&from=searchresults,Séjour chez le Marin,"35 Boulevard Amiral Mouchez, 76600 Le Havre, France",8.3,32,"['49.48451380,0.13251530']","Doté d'une connexion Wi-Fi et d'un parking privé gratuits, le Séjour chez le Marin est situé au Havre, à seulement 1,3 km des docks Vauban. Occupant un bâtiment datant de 2019, il se trouve à 2,9 km de la plage du Havre et à 2,5 km du Volcan. Cet appartement comprend 2 chambres, une télévision à écran plat, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un lave-vaisselle et d'un réfrigérateur. Les serviettes et le linge de lit sont fournis. Vous séjournerez à 2,5 km de l'appartement témoin Perret et à 2,7 km de l'église Saint-Michel. L'aéroport de Deauville-Normandie, le plus proche, est à 32 km. ",le-havre
https://www.booking.com/searchresults.fr.html?ss=bayeux&rows=25&offset=0&order=popularity,https://www.booking.com/hotel/fr/l-39-ecole-buissonniere-bayeux.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=e6ae703a54fc03e0&srepoch=1649692662&from_sustainable_property_sr=1&from=searchresults,L'École Buissonnière,"Saint-Vigor-le-Grand 13 Rue de Courseulles, 14400 Bayeux, France",9.5,11,"['49.28082623,-0.69080722']","Vous pouvez bénéficier d'une réduction Genius dans l'établissement L'École Buissonnière !  Connectez-vous  pour économiser. Situé à Bayeux, à moins de 1,1 km du musée de la Tapisserie de Bayeux et du musée Baron Gérard, l'établissement L'École Buissonnière propose des hébergements avec une connexion Wi-Fi gratuite et un coin salon. Les logements disposent de parquet, d'une cuisine entièrement équipée avec lave-vaisselle, d'un coin repas, d'une télévision par câble à écran plat ainsi que d'une salle de bains privative avec douche et sèche-cheveux. Vous pourrez profiter d'un micro-ondes, d'un réfrigérateur, d'un four, d'une bouilloire et d'une machine à café. Vous séjournerez à 1,2 km de la cathédrale Notre-Dame de Bayeux et à 1,8 km du musée de la Bataille de Normandie. L'aéroport de Carpiquet, le plus proche, est implanté à 21 km. ",bayeux
https://www.booking.com/searchresults.fr.html?ss=bayeux&rows=25&offset=0&order=popularity,https://www.booking.com/hotel/fr/le-bayeux.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=e6ae703a54fc03e0&srepoch=1649692662&from=searchresults,Hôtel Le Bayeux,"9 Rue Tardif, 14400 Bayeux, France",8.2,568,"['49.27415914,-0.70450634']","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Le Bayeux !  Connectez-vous  pour économiser. Situé dans le centre historique de Bayeux, en Basse-Normandie, l'Hôtel Le Bayeux propose des hébergements dotés d'une salle de bains privative et d'une connexion Wi-Fi gratuite. Les chambres sont équipées d'une télévision à écran plat, d'un téléphone et d'un bureau. Les chambres familiales peuvent accueillir 4 à 5 personnes. L'Hôtel Le Bayeux sert tous les jours un petit-déjeuner buffet et comprend des distributeurs automatiques. Il fournit un service de blanchisserie, et des journaux internationaux sont chaque jour mis à votre disposition dans le hall. Un service de navette permettant de faire des excursions ou rejoindre l'aéroport est également disponible sur demande. L'hôtel se trouve à 10 minutes à pied de la gare de Bayeux, à 350 mètres du Musée de la tapisserie et à 550 mètres de la cathédrale Notre-Dame. La ville de Bayeux est à 10 km des plages du débarquement. ",bayeux
https://www.booking.com/searchresults.fr.html?ss=bayeux&rows=25&offset=0&order=popularity,https://www.booking.com/hotel/fr/hotelduluxembourg.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=e6ae703a54fc03e0&srepoch=1649692662&from_sustainable_property_sr=1&from=searchresults,Grand Hôtel du Luxembourg et La Table du Grand Luxembourg,"25 Rue Des Bouchers, 14400 Bayeux, France",7.8,1054,"['49.27842191,-0.70329666']","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Grand Hôtel du Luxembourg et La Table du Grand Luxembourg !  Connectez-vous  pour économiser. Occupant une demeure de caractère du XVIIe siècle, le Grand Hôtel du Luxembourg et La Table du Grand Luxembourg a été converti en un charmant hôtel doté d’un restaurant gastronomique et d’une piscine extérieure chauffée ouverte toute l’année. L’établissement bénéficie d’un emplacement idéal dans le centre de Bayeux, à proximité du musée de la tapisserie. Les chambres du Grand Hôtel Le Luxembourg et La Table du Grand Luxembourg sont confortables et bien équipées avec des installations modernes, dont une télévision par satellite. Le restaurant gastronomique La Table du Grand Luxembourg sert une cuisine française traditionnelle. Un nombre limité de places de stationnement payantes est disponible. ",bayeux
https://www.booking.com/searchresults.fr.html?ss=paris&rows=25&offset=0&order=popularity,https://www.booking.com/hotel/fr/mbm-loft-marais.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=577f703a16e30402&srepoch=1649692662&from=searchresults,MBM - LOFT MARAIS,"Rue de Charonne, 11e arr., 75011 Paris, France",8.1,19,"['48.85329021,2.37766369']","Situé à 600 mètres de l'opéra Bastille, le MBM - LOFT MARAIS propose un hébergement avec un balcon. Tous les logements sont climatisés et disposent d'une télévision à écran plat, d'un salon, d'une cuisine bien équipée avec un coin repas ainsi que d'une salle de bains privative pourvue d'une douche, d'un sèche-cheveux et d'articles de toilette gratuits. Un micro-ondes, un réfrigérateur, des plaques de cuisson et une bouilloire sont également fournis. Vous séjournerez à 2 km du Centre Pompidou et à 2,1 km de la cathédrale Notre-Dame. L'aéroport de Paris-Orly, le plus proche, est à 14 km. ",paris
https://www.booking.com/searchresults.fr.html?ss=colmar&rows=25&offset=0&order=popularity,https://www.booking.com/hotel/fr/aux-bijoux-de-colmar-le-saphir.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=aac2703baab60059&srepoch=1649692663&from=searchresults,Aux Bijoux de Colmar - Le Saphir - 1 PARKING GRATUIT,"1 Rue Berthe Molly, 68000 Colmar, France",8.5,30,"['48.07733814,7.35609418']","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Aux Bijoux de Colmar - Le Saphir - 1 PARKING GRATUIT !  Connectez-vous  pour économiser. Situé à Colmar, à seulement 2,1 km de la Maison des Têtes, l'établissement Aux Bijoux de Colmar - Le Saphir - 1 PARKING GRATUIT propose un hébergement avec vue sur la ville, connexion Wi-Fi et parking privé gratuits. Il se trouve à 600 mètres de la petite Venise de Colmar et à 1,8 km du théâtre de Colmar. Doté d'un lecteur Blu-ray, l'appartement dispose d'une cuisine avec un lave-vaisselle, un micro-ondes et un réfrigérateur, d'un salon, d'un coin repas, de 3 chambres et de 2 salles de bains avec douche. Les serviettes et le linge de lit sont fournis. Vous séjournerez à 2,7 km de la collégiale Saint-Martin et à 4,2 km du parc des expositions Colmar Expo. L'aéroport de Bâle, le plus proche, est implanté à 59 km. ",colmar
https://www.booking.com/searchresults.fr.html?ss=colmar&rows=25&offset=0&order=popularity,https://www.booking.com/hotel/fr/appartement-les-moulins-proche-centre-ville.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=aac2703baab60059&srepoch=1649692663&from_sustainable_property_sr=1&from=searchresults,LES MOULINS Très agréable et idéalement situé,"3 Rue des Moulins, 68000 Colmar, France",8.6,11,"['48.08091043,7.35187411']","L'établissement LES MOULINS Très agréable et idéalement situé est situé dans le quartier du centre-ville de Colmar, à 800 mètres de la collégiale Saint-Martin, à 2,3 km du parc des expositions et à 300 mètres du théâtre de Colmar. Il se trouve à 400 mètres de la Maison des Têtes et dispose d'une connexion Wi-Fi gratuite ainsi que d'une réception ouverte 24h/24. Cet appartement comprend 2 chambres, une télévision par satellite à écran plat, un lave-linge et une salle de bains pourvue d'une baignoire ou d'une douche. Sa cuisine est équipée d'un micro-ondes et d'un lave-vaisselle. Les serviettes et le linge de lit sont fournis. Vous séjournerez à proximité du musée Unterlinden, de l'église dominicaine et du musée Bartholdi. L'aéroport de Bâle, le plus proche, est implanté à 55 km. ",colmar
https://www.booking.com/searchresults.fr.html?ss=strasbourg&rows=25&offset=0&order=popularity,https://www.booking.com/hotel/fr/ibis-budget-strasbourg-centre-gare.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=8fa5703bb169016f&srepoch=1649692663&from=searchresults,Ibis Budget Strasbourg Centre Gare,"13 Place de la Gare, 67000 Strasbourg, France",7.9,2797,"['48.58508170,7.73644330']","Situé à Strasbourg, l’ibis Budget Strasbourg Centre Gare dispose d’une réception ouverte 24h/24 et d’une connexion Wi-Fi gratuite dans l’ensemble de son enceinte. L’établissement est à 10 minutes à pied du quartier de la Petite France. Toutes les chambres sont dotées de la climatisation et d’une télévision par satellite à écran plat. Leur salle de bains privative est pourvue d’une douche. Chaque jour, l’établissement sert un petit-déjeuner continental. D’autre part, plusieurs restaurants et magasins sont accessibles à pied. L’ibis Budget Strasbourg Centre Gare se trouve à 1 km du marché de Noël de Strasbourg ainsi qu’à 10 minutes de la cathédrale de la ville en transports en commun. L’aéroport international de Strasbourg-Entzheim, le plus proche, est implanté à 9 km de l’établissement. Enfin, un parking public est proposé moyennant des frais supplémentaires. ",strasbourg
https://www.booking.com/searchresults.fr.html?ss=eguisheim&rows=25&offset=0&order=popularity,https://www.booking.com/hotel/fr/la-legende-des-2-pierres.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=1430703b19630311&srepoch=1649692663&from=searchresults,La Légende des 2 Pierres,"93, rue Rempart Sud, 68420 Eguisheim, France",9.2,50,"['48.04299853,7.30448939']","Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Légende des 2 Pierres !  Connectez-vous  pour économiser. Situé dans le pittoresque village d'Eguisheim, l'appartement indépendant La Légende des 2 Pierres offre une vue sur la montagne. Un local à skis est à votre disposition. Ce logement climatisé est doté d'un coin salon avec une télévision à écran plat, d'un lave-linge et d'une salle de bains munie d'une douche. La kitchenette est équipée d'un four, d'un four micro-ondes et d'un réfrigérateur. Une connexion Wi-Fi est accessible gratuitement. Des épiceries et des restaurants vous attendent à quelques pas. Dans les environs, vous pourrez pratiquer la randonnée à pied et à vélo. Colmar se trouve à seulement 15 minutes en voiture. ",eguisheim
