city,N_hotels,lat,lon
aigues-mortes,16,43.5658225,4.1912837
aix-provence,20,43.54625275,5.430773370603349
amiens,20,49.8941708,2.2956951
annecy,20,45.8992348,6.1288847
ariege,20,42.9455368,1.4065544156065486
avignon,15,43.9492493,4.8059012
bayeux,20,49.2764624,-0.7024738
bayonne,18,43.4945144,-1.4736657
besancon,20,47.2380222,6.0243622
biarritz,20,43.471143749999996,-1.552726590666314
bormes-mimosas,14,43.1506968,6.3419285
carcassonne,20,43.2130358,2.3491069
cassis,19,43.2140359,5.5396318
chateau-haut-koenigsbourg,19,48.249489800000006,7.34429620253195
collioure,19,42.52505,3.0831554
colmar,19,48.0777517,7.3579641
dijon,19,47.3215806,5.0414701
eguisheim,20,48.0447968,7.3079618
grenoble,20,45.1875602,5.7357819
la-rochelle,15,46.1591126,-1.1520434
le-havre,20,49.4938975,0.1079732
lille,19,50.6365654,3.0635282
lyon,20,45.7578137,4.8320114
marseille,14,43.2961743,5.3699525
mont-saint-michel,20,48.6359541,-1.511459954959514
montauban,20,44.0175835,1.3549991
nimes,19,43.8374249,4.3600687
paris,11,48.8588897,2.3200410217200766
rouen,20,49.4404591,1.0939658
saintes-maries,19,43.4522771,4.4287172
st-malo,20,48.649518,-2.0260409
strasbourg,20,48.584614,7.7507127
toulouse,20,43.6044622,1.4442469
uzes,20,44.0121279,4.4196718
verdon-gorge,20,43.7496562,6.3285616
